,Open,High,Low,Close,Adj Close,Volume,AD,AMATe_LR_8_21_2,AMATe_SR_8_21_2,OBV,AOBV_LR_2,AOBV_SR_2,BOP,CDL_DOJI_10_0.1,CDL_INSIDE,LDECAY_5,DEC_1,HA_open,HA_high,HA_low,HA_close,HL2,HLC3,HWM,HWU,HWL,HWMA_0.2_0.1_0.1,INC_1,MCGD_10,NVI_1,OHLC4,PSARaf_0.02_0.2,PSARr_0.02_0.2,PVI_1,PVOL,PVR,SQZ_ON,SQZ_OFF,SQZ_NO,SQZPRO_ON_WIDE,SQZPRO_ON_NORMAL,SQZPRO_ON_NARROW,SQZPRO_OFF,SQZPRO_NO,SSF_10_2,STC_10_12_26_0.5,STCstoch_10_12_26_0.5,SUPERTd_7_3.0,THERMOl_20_2_0.5,THERMOs_20_2_0.5,TOS_STDEVALL_LR,TOS_STDEVALL_L_1,TOS_STDEVALL_U_1,TOS_STDEVALL_L_2,TOS_STDEVALL_U_2,TOS_STDEVALL_L_3,TOS_STDEVALL_U_3,TTM_TRND_6,WCP
117,0.35113527272892525,0.38340665574378047,0.5175320023634564,0.49118933488867,0.49118933488867,,0.16949064346803983,,1.0,0.23301935548559186,,1.0,0.5769760096970942,,1.0,0.37766918402105176,0.0,0.40828980233212175,0.24803199202927131,0.7281847851562882,0.5206905985710828,0.539341950190089,0.5198627312814933,0.1835143436701211,0.18955993689731376,0.3277304499751809,0.1835143436701211,1.0,0.3964872686551032,0.5329000679860253,0.5206905985710828,0.47368421052631576,,0.4717832923445008,,0.022222222222222227,,1.0,,,,,1.0,,0.3075982485509753,5.999999996399999e-10,1.4000000341433333e-09,1.0,1.0,1.0,0.8483222443560781,0.8486492337573974,0.8480151262774029,0.8489980875284218,0.8477261216030243,0.8493710746030807,0.847453673659329,1.0,0.5111448311200296
118,0.48480584234558743,0.5071178207597841,0.5285170710375151,0.49813893353665606,0.49813893353665606,0.0023790261212262,0.1690677642759362,,1.0,0.23279723649214082,,1.0,0.5918314229795908,,0.5,0.4981766285487596,,0.4161463008291806,0.2528047366863013,0.7436411430932196,0.6238649795901412,0.6388338397957232,0.5795975618444372,0.22935279730956296,0.24511475420986079,0.35725088872051286,0.22935279730956296,1.0,0.4359723718083985,0.5329000679860253,0.6238649795901412,0.47368421052631576,,0.4989561513486679,0.0023720572369374648,0.2,,1.0,,,,,1.0,,0.34637512931699355,5.999999776693216e-10,1.39999999804e-09,1.0,1.0,0.0,0.8469987728437438,0.847328101925573,0.8466894592814427,0.8476794542839521,0.8463983903772991,0.8480551155504887,0.8461239980902597,1.0,0.554939232289254
119,0.4911875438528242,0.4919624924288009,0.5127760797697408,0.4732301268568005,0.4732301268568005,0.0,0.16949064346803983,,1.0,0.23301935548559186,,1.0,0.5827004946169254,1.0,,0.4732696927806604,,0.49611546166786163,0.32511753789036707,0.721493043474017,0.6052148792364754,0.6156863321573093,0.5556133295372399,0.2529449495477675,0.2423683718599627,0.3981258326059492,0.2529449495477675,1.0,0.45182783022116024,0.54334662305543,0.6052148792364754,0.47368421052631576,,0.4717832923445008,0.0,0.4666666666666667,,1.0,,,,,1.0,,0.36950574148664317,5.999999996399999e-10,1.39999999804e-09,1.0,1.0,,0.8456750261549839,0.8460066865246052,0.8453635250498994,0.8463605285432916,0.8450703993858202,0.8467388544707806,0.8447940698249479,1.0,0.5306725114610646
120,0.4653198699844359,0.47891602711620324,0.4897818716836113,0.47089906763085404,0.47089906763085404,,0.16949064346803983,,1.0,0.23301935548559186,,1.0,0.5841821596333759,1.0,,0.47093880864162857,1.0,0.5225415913716026,0.31383487546091404,0.689139425922695,0.580973302563564,0.5885417480360963,0.539142408402171,0.27414475844268404,0.2518962751635214,0.424994404035007,0.27414475844268404,0.0,0.46410654358453185,0.5329000679860253,0.580973302563564,0.47368421052631576,,0.4717832923445008,,0.33333333333333337,,1.0,,,,,1.0,,0.37921740564084355,5.999999117572834e-10,1.39999999804e-09,1.0,1.0,,0.844351004140238,0.8446849873762048,0.8440373233944527,0.8450413100803065,0.8437421485207608,0.8454222912085996,0.8434638887162471,1.0,0.5184768204899166
121,0.4690909185597337,0.5346363412434578,0.5231285913097187,0.5350631877554762,0.5350631877554762,,0.16949064346803983,,1.0,0.23301935548559186,,1.0,0.7983115398721441,0.0,,0.5350981093701145,0.0,0.5178527536532346,0.3872075721318415,0.7250710498550362,0.64000741204121,0.6549075957094881,0.6047598483588622,0.34535260502172804,0.3228426909011453,0.4833900458202602,0.34535260502172804,1.0,0.5214503709508135,0.5329000679860253,0.64000741204121,0.47368421052631576,,0.4717832923445008,,0.022222222222222227,,1.0,,,,,1.0,,0.41062738820204375,5.999999996399999e-10,1.4000005756933158e-09,1.0,1.0,1.0,0.8430267067859099,0.8433630044676335,0.8427108543440784,0.8437217989069001,0.8424136377359108,0.8441054257306586,0.8421334547805088,0.0,0.5836612760664972
122,0.5270350460762141,0.5249356488835717,0.5586250497438352,0.47301397371880044,0.47301397371880044,,0.16949064346803983,1.0,0.0,0.23301935548559186,,1.0,0.5820175458926993,1.0,,0.47305355587802045,,0.5591436891844375,0.37443366787146043,0.7258165795163429,0.6482741064903549,0.6749010527722634,0.5892276206313323,0.3617924358674002,0.34388072499337985,0.4930306948331469,0.3617924358674002,1.0,0.5275598643945612,0.5329000679860253,0.6482741064903549,0.01315789473684209,1.0,0.4717832923445008,,0.2,,1.0,,,,,1.0,,0.41424155844938987,5.999999996399999e-10,1.39999999804e-09,1.0,1.0,1.0,0.8417021339424391,0.8420407376588113,0.8413841177249424,0.8424019949516612,0.8410848668156223,0.8427882578594126,0.8408027678542354,1.0,0.5540512361380818
123,0.4625533941918481,0.4561344174106175,0.49422989028079567,0.4835931631696971,0.4835931631696971,,0.16949064346803983,1.0,,0.23301935548559186,,1.0,0.2698973075584448,0.0,,0.4836319507212038,,0.5859316977402529,0.2838359753329301,0.7424769462471523,0.5780843227686847,0.5752215545686261,0.5370446591266164,0.3864685395253402,0.38771636506035845,0.49755299943227144,0.3864685395253402,1.0,0.5405030258937373,0.5329000679860253,0.5780843227686847,0.47368421052631576,0.0,0.4717832923445008,,0.2,,1.0,,,,,1.0,,0.4104417857652633,5.999999996399999e-10,1.39999999804e-09,1.0,1.0,0.0,0.8403772855146521,0.840718186847857,0.8400571134791033,0.8410818979765544,0.8397558358215065,0.841470787517185,0.8394718278883815,1.0,0.5208478011805064
124,0.47749743901192676,0.4973463473872569,0.4874095993736675,0.4456601517024191,0.4456601517024191,,0.16949064346803983,1.0,,0.23301935548559186,,1.0,0.5767137336115541,,,0.4686316563454386,1.0,0.5473333431965004,0.33810398305617473,0.7097607339441134,0.581825887604667,0.6002467596231735,0.5348706520772493,0.3798447271865655,0.3903154170096702,0.4846159714595102,0.3798447271865655,0.0,0.5252061435429854,0.5329000679860253,0.581825887604667,0.47368421052631576,,0.4717832923445008,,0.7333333333333334,,1.0,,,,,1.0,,0.3870057384018549,5.999985935163322e-10,1.39999999804e-09,1.0,1.0,,0.839052161502547,0.8393953520092996,0.838729841592075,0.839761508017288,0.8384265446919503,0.8401530146373943,0.8381406348829472,1.0,0.5078640990181089
125,0.4374584209909853,0.42489681578656424,0.4554137697869012,0.45707402738651465,0.45707402738651465,,0.16949064346803983,0.0,1.0,0.23301935548559186,,1.0,0.5860760754595188,,,0.44569779636945933,1.0,0.5308644416210047,0.2617524253588758,0.6407823605014351,0.5321980788676745,0.522641584482198,0.49559147245288376,0.384448005362208,0.40620877281583756,0.47918480070763586,0.384448005362208,,0.5195444051514773,0.5329000679860253,0.5321980788676745,0.47368421052631576,,0.4717832923445008,,0.2,,1.0,,,,,1.0,,0.36676364328984284,5.999999996399999e-10,1.4000092404892361e-09,1.0,1.0,1.0,0.8377267617293729,0.8380722329903207,0.8374023019045111,0.8384408249786457,0.8370969932113042,0.8388349390535925,0.8368091886744367,0.0,0.4839045322283474
126,0.45058517870117504,0.46500232535170993,0.47786281363536415,0.42571264091929734,0.42571264091929734,,0.16949064346803983,,1.0,0.23301935548559186,,1.0,0.6018853084372825,,,0.4571126139896475,1.0,0.4859453284875217,0.2952069514193596,0.6723689137910938,0.5485464526013883,0.5692278576960025,0.5085526533451807,0.3649331081494695,0.38422253287725916,0.4652401902529446,0.3649331081494695,,0.49171361905494043,0.5329000679860253,0.5485464526013883,0.47368421052631576,,0.4717832923445008,,0.2,,1.0,,,,,1.0,,0.3384697554843775,5.999999996399999e-10,1.39999999804e-09,1.0,1.0,0.0,0.8364010861407447,0.8367488297017758,0.8360744943294982,0.8371198486225957,0.8357671814257781,0.8375165606881048,0.8354774892138046,1.0,0.4834693666556145
