,Open,High,Low,Close,Adj Close,Volume,AD,AMATe_LR_8_21_2,AMATe_SR_8_21_2,OBV,AOBV_LR_2,AOBV_SR_2,Adj Close_B_BBL_5_2.0,BOP,CDL_DOJI_10_0.1,CDL_INSIDE,Adj Close_XA_BBL_5_2.0,Adj Close_XA_None,LDECAY_5,DEC_1,HA_open,HA_high,HA_low,HA_close,HL2,HLC3,HWM,HWU,HWL,HWMA_0.2_0.1_0.1,INC_1,MCGD_10,NVI_1,OHLC4,PSARaf_0.02_0.2,PSARr_0.02_0.2,PVI_1,PVOL,PVR,SQZ_ON,SQZ_OFF,SQZ_NO,SQZPRO_ON_WIDE,SQZPRO_ON_NORMAL,SQZPRO_ON_NARROW,SQZPRO_OFF,SQZPRO_NO,SSF_10_2,STC_10_12_26_0.5,STCstoch_10_12_26_0.5,SUPERTd_7_3.0,THERMOl_20_2_0.5,THERMOs_20_2_0.5,TOS_STDEVALL_LR,TOS_STDEVALL_L_1,TOS_STDEVALL_U_1,TOS_STDEVALL_L_2,TOS_STDEVALL_U_2,TOS_STDEVALL_L_3,TOS_STDEVALL_U_3,TTM_TRND_6,WCP
2022-11-30 22:00:00+00:00,1295.51025390625,1295.9083251953125,1293.8372802734375,1294.7802734375,1294.7802734375,0,-0.0,0,0,0.0,0,0,0,-0.35246964517269835,0.0,0,0,0,1294.7802734375,0,1295.145263671875,1295.9083251953125,1293.8372802734375,1295.009033203125,1294.872802734375,1294.8419596354167,1294.7802734375,1294.7802734375,1294.7802734375,1294.7802734375,0,1294.7802734375,1000.0,1295.009033203125,0.02,0,1000.0,0.0,1.0,0,0,1,0,0,0,0,1,1224.0158503747994,0.0,0.0,1,0,0,1287.1233093969126,1247.2686830320504,1326.977935761775,1207.414056667188,1366.8325621266372,1167.559430302326,1406.6871884914992,-1,1294.8265380859375
2022-11-30 23:00:00+00:00,1297.4112548828125,1302.0386962890625,1295.5440673828125,1295.7918701171875,1295.7918701171875,333292544,-307858972.67754304,0,0,333292544.0,0,0,0,-0.24934215472520863,0.0,0,0,0,1295.7918701171875,0,1295.0771484375,1302.0386962890625,1295.0771484375,1297.6964721679688,1298.7913818359375,1297.7915445963542,1295.003836303711,1295.003836303711,1295.003836303711,1295.003836303711,1,1294.881117582535,1000.0,1297.6964721679688,0.04,0,1000.0781288300757,431877768885.875,1.0,0,0,1,0,0,0,0,1,1252.5098836949787,0.0,0.0,1,0,0,1286.9911057714232,1247.136479406561,1326.8457321362855,1207.281853041699,1366.7003585011475,1167.4272266768367,1406.5549848660098,-1,1297.2916259765625
2022-12-01 00:00:00+00:00,1295.76953125,1295.9998779296875,1288.971923828125,1290.0107421875,1290.0107421875,0,-307858972.67754304,0,0,333292544.0,0,0,0,-0.8194118770951662,0.0,0,0,0,1295.5918701171875,1,1296.3868103027344,1296.3868103027344,1288.971923828125,1292.6880187988281,1292.4859008789062,1291.6608479817708,1293.9235230100098,1293.9235230100098,1293.9235230100098,1293.9235230100098,0,1294.3866831344867,999.5538536656227,1292.6880187988281,0.04,0,1000.0781288300757,0.0,4.0,0,0,1,0,0,0,0,1,1273.7228123707896,0.0,0.0,1,0,0,1286.8589021459336,1247.0042757810713,1326.7135285107959,1207.1496494162093,1366.568154875658,1167.295023051347,1406.4227812405202,-1,1291.2483215332031
2022-12-01 01:00:00+00:00,1290.0120849609375,1290.1322021484375,1286.562255859375,1286.674072265625,1286.674072265625,0,-307858972.67754304,0,0,333292544.0,0,0,0,-0.9350316293383485,0.0,0,0,0,1289.8107421875,1,1294.5374145507812,1294.5374145507812,1286.562255859375,1288.3451538085938,1288.3472290039062,1287.7895100911458,1292.2321454025212,1292.4813435749024,1291.9829472301399,1292.2321454025212,0,1293.5967626677214,999.5538536656227,1288.3451538085938,0.04,0,1000.0781288300757,0.0,3.0,0,0,1,0,0,0,0,1,1285.7256237187817,0.0,0.0,1,0,0,1286.7266985204442,1246.872072155582,1326.5813248853065,1207.0174457907196,1366.4359512501687,1167.1628194258576,1406.2905776150308,-1,1287.5106506347656
2022-12-01 02:00:00+00:00,1286.557861328125,1288.0120849609375,1285.0003662109375,1286.93359375,1286.93359375,0,-307858972.67754304,0,0,333292544.0,0,0,0,0.1247568093385214,0.0,0,0,0,1286.93359375,0,1291.4412841796875,1291.4412841796875,1285.0003662109375,1286.6259765625,1286.5062255859375,1286.648681640625,1290.7984235696333,1292.058135891041,1289.5387112482256,1290.7984235696333,1,1292.9165386652285,999.5538536656227,1286.6259765625,0.04,0,1000.0781288300757,0.0,1.0,0,0,1,0,0,0,0,1,1290.9675200092227,0.0,0.0,1,0,0,1286.5944948949548,1246.7398685300925,1326.449121259817,1206.8852421652305,1366.303747624679,1167.0306158003682,1406.1583739895414,-1,1286.7199096679688
2022-12-01 03:00:00+00:00,1286.918212890625,1290.0123291015625,1286.89306640625,1288.742431640625,1288.742431640625,0,-307858972.67754304,0,0,333292544.0,0,0,0,0.5848236997612805,0.0,0,0,0,1288.742431640625,0,1289.0336303710938,1290.0123291015625,1286.89306640625,1288.1415100097656,1288.4526977539062,1288.5492757161458,1289.938848908784,1292.0642677660787,1287.8134300514891,1289.938848908784,1,1292.4936938279754,999.5538536656227,1288.1415100097656,0.04,0,1000.0781288300757,0.0,1.0,0,0,1,0,0,0,0,1,1292.5598203085383,0.0,0.0,1,0,0,1286.4622912694651,1246.6076649046029,1326.3169176343274,1206.7530385397408,1366.1715439991895,1166.8984121748786,1406.0261703640517,-1,1288.5975646972656
2022-12-01 04:00:00+00:00,1288.6444091796875,1289.3056640625,1285.1600341796875,1285.171630859375,1285.171630859375,0,-307858972.67754304,0,0,333292544.0,0,0,0,-0.8376961809134007,0.0,0,0,0,1288.542431640625,1,1288.5875701904297,1289.3056640625,1285.1600341796875,1287.0704345703125,1287.2328491210938,1286.5457763671875,1288.4019883426672,1290.7598169497808,1286.0441597355536,1288.4019883426672,0,1291.7446578652198,999.5538536656227,1287.0704345703125,0.04,0,1000.0781288300757,0.0,3.0,0,0,1,0,0,0,0,1,1291.343987838685,0.0,0.0,1,0,0,1286.3300876439757,1246.4754612791135,1326.184714008838,1206.6208349142512,1366.0393403737003,1166.7662085493891,1405.8939667385623,-1,1286.2022399902344
2022-12-01 05:00:00+00:00,1285.083984375,1286.5308837890625,1280.7547607421875,1282.241943359375,1282.241943359375,0,-307858972.67754304,0,0,333292544.0,0,0,0,-0.49203263028868505,0.0,0,0,0,1284.971630859375,1,1287.829002380371,1287.829002380371,1280.7547607421875,1283.6528930664062,1283.642822265625,1283.1758626302083,1286.4134131102821,1288.6820165561107,1284.1448096644535,1286.4134131102821,0,1290.7659018086242,999.5538536656227,1283.6528930664062,0.04,0,1000.0781288300757,0.0,3.0,0,0,1,0,0,0,0,1,1288.539397694745,0.0,0.0,1,0,0,1286.197884018486,1246.3432576536238,1326.0525103833484,1206.4886312887616,1365.9071367482106,1166.6340049238995,1405.7617631130727,-1,1282.9423828125
2022-12-01 06:00:00+00:00,1282.3892822265625,1285.05419921875,1282.3892822265625,1284.7891845703125,1284.7891845703125,0,-307858972.67754304,0,0,333292544.0,0,0,0,0.9005542577069305,0.0,1,0,0,1284.7891845703125,0,1285.7409477233887,1285.7409477233887,1282.3892822265625,1283.6554870605469,1283.7217407226562,1284.0775553385417,1285.2426496888106,1287.624965029392,1282.8603343482293,1285.2426496888106,1,1290.1570309930264,999.5538536656227,1283.6554870605469,0.04,0,1000.0781288300757,0.0,1.0,0,0,1,0,0,0,0,1,1286.436501608649,0.0,0.0,1,0,0,1286.0656803929967,1246.2110540281344,1325.920306757859,1206.3564276632724,1365.774933122721,1166.50180129841,1405.6295594875833,-1,1284.2554626464844
2022-12-01 07:00:00+00:00,1284.826416015625,1284.826416015625,1281.4205322265625,1281.72900390625,1281.72900390625,0,-307858972.67754304,0,0,333292544.0,0,0,0,-0.9094297695423104,0.0,0,0,0,1284.5891845703125,1,1284.6982173919678,1284.826416015625,1281.4205322265625,1283.2005920410156,1283.1234741210938,1282.6586507161458,1283.5621718792845,1286.1790401854944,1280.9453035730746,1283.5621718792845,0,1289.2918412365548,999.5538536656227,1283.2005920410156,0.04,0,1000.0781288300757,0.0,3.0,0,0,1,0,0,0,0,1,1284.3797912002947,0.0,0.0,1,0,0,1285.9334767675073,1246.078850402645,1325.7881031323695,1206.2242240377827,1365.6427294972318,1166.3695976729207,1405.4973558620939,-1,1282.4262390136719
2022-12-01 08:00:00+00:00,1281.634521484375,1284.0723876953125,1279.7645263671875,1284.0191650390625,1284.0191650390625,0,-307858972.67754304,0,0,333292544.0,0,0,0,0.55355624822896,0.0,0,0,0,1284.0191650390625,0,1283.9494047164917,1284.0723876953125,1279.7645263671875,1282.3726501464844,1281.91845703125,1282.6186930338542,1282.621006199611,1285.1077234775119,1280.13428892171,1282.621006199611,1,1288.7558594706586,999.5538536656227,1282.3726501464844,0.04,0,1000.0781288300757,0.0,1.0,0,0,1,0,0,0,0,1,1283.4426794999492,0.0,0.0,1,0,0,1285.8012731420176,1245.9466467771554,1325.65589950688,1206.092020412293,1365.5105258717422,1166.237394047431,1405.3651522366042,-1,1282.9688110351562
