symbol: UNI7083-USD | length: 541 | accuracy: 0.47504621072088726 | cross_val_scores: [0.51131222 0.52439024 0.52586207 0.55691057 0.54918033] | cross_val_scores_avg: 0.5335310854074141 | precision: 0.45051194539249145 | tn: 125, fp: 161, fn: 123, tp: 132 | 
symbol: HEX-USD | length: 1897 | accuracy: 0.522403795466526 | cross_val_scores: [0.52134146 0.4873817  0.5        0.51532847 0.47447447] | cross_val_scores_avg: 0.499705221702485 | precision: 0.5161691542288557 | tn: 576, fp: 389, fn: 517, tp: 415 | 
symbol: WBTC-USD | length: 1725 | accuracy: 0.4944927536231884 | cross_val_scores: [0.51906158 0.4971831  0.50955414 0.51749271 0.48948949] | cross_val_scores_avg: 0.5065562046312805 | precision: 0.46900584795321637 | tn: 452, fp: 454, fn: 418, tp: 401 | 
symbol: ATOM-USD | length: 1897 | accuracy: 0.5076436478650501 | cross_val_scores: [0.51030303 0.50713359 0.51131222 0.51040222 0.5458221 ] | cross_val_scores_avg: 0.516994632360053 | precision: 0.49819927971188477 | tn: 548, fp: 418, fn: 516, tp: 415 | 
symbol: LINK-USD | length: 1897 | accuracy: 0.522403795466526 | cross_val_scores: [0.53300125 0.52489906 0.50311333 0.50845254 0.52692308] | cross_val_scores_avg: 0.5192778481836873 | precision: 0.5193312434691745 | tn: 494, fp: 460, fn: 446, tp: 497 | 
symbol: LEO-USD | length: 1725 | accuracy: 0.5460869565217391 | cross_val_scores: [0.51355422 0.50485437 0.5125     0.5310559  0.52366864] | cross_val_scores_avg: 0.5171266250947762 | precision: 0.5375 | tn: 512, fp: 370, fn: 413, tp: 430 | 
symbol: XMR-USD | length: 1897 | accuracy: 0.503953610964681 | cross_val_scores: [0.50222222 0.4943662  0.4921466  0.49563953 0.49149923] | cross_val_scores_avg: 0.4951747556700307 | precision: 0.48 | tn: 584, fp: 403, fn: 538, tp: 372 | 
symbol: ETC-USD | length: 1897 | accuracy: 0.5160780179230364 | cross_val_scores: [0.51450189 0.51470588 0.51210191 0.51928021 0.53137517] | cross_val_scores_avg: 0.5183930114553502 | precision: 0.5117707267144319 | tn: 479, fp: 477, fn: 441, tp: 500 | 
symbol: TON11419-USD | length: 541 | accuracy: 0.49722735674676527 | cross_val_scores: [0.51363636 0.48924731 0.45754717 0.51243781 0.48453608] | cross_val_scores_avg: 0.4914809477390284 | precision: 0.484375 | tn: 145, fp: 132, fn: 140, tp: 124 | 
symbol: APT21794-USD | length: 481 | accuracy: 0.4594594594594595 | cross_val_scores: [0.51184834 0.54081633 0.55769231 0.51231527 0.55868545] | cross_val_scores_avg: 0.5362715384800996 | precision: 0.4548611111111111 | tn: 90, fp: 157, fn: 103, tp: 131 | 
symbol: BCH-USD | length: 1897 | accuracy: 0.5065893516078018 | cross_val_scores: [0.48933333 0.52160954 0.51240695 0.51846785 0.50137741] | cross_val_scores_avg: 0.5086390163905269 | precision: 0.492152466367713 | tn: 522, fp: 453, fn: 483, tp: 439 | 
symbol: XLM-USD | length: 1897 | accuracy: 0.5271481286241434 | cross_val_scores: [0.4845815  0.51001541 0.49208443 0.49183007 0.50701754] | cross_val_scores_avg: 0.4971057896109309 | precision: 0.5128617363344051 | tn: 681, fp: 303, fn: 594, tp: 319 | 
symbol: OKB-USD | length: 1725 | accuracy: 0.4811594202898551 | cross_val_scores: [0.50568182 0.53293413 0.49295775 0.49579832 0.48442368] | cross_val_scores_avg: 0.5023591383474821 | precision: 0.48748510131108463 | tn: 421, fp: 430, fn: 465, tp: 409 | 
symbol: APE18876-USD | length: 541 | accuracy: 0.49168207024029575 | cross_val_scores: [0.53233831 0.53953488 0.51173709 0.45454545 0.48847926] | cross_val_scores_avg: 0.505326999719757 | precision: 0.4641509433962264 | tn: 143, fp: 142, fn: 133, tp: 123 | 
symbol: CRO-USD | length: 1897 | accuracy: 0.5166051660516605 | cross_val_scores: [0.51150895 0.49691739 0.47916667 0.48266297 0.5006502 ] | cross_val_scores_avg: 0.4941812334349951 | precision: 0.5137055837563452 | tn: 474, fp: 479, fn: 438, tp: 506 | 
symbol: NEAR-USD | length: 1721 | accuracy: 0.4985473561882626 | cross_val_scores: [0.50554017 0.50673854 0.49861111 0.50658858 0.52511416] | cross_val_scores_avg: 0.5085185113673308 | precision: 0.4965116279069767 | tn: 431, fp: 433, fn: 430, tp: 427 | 
symbol: FIL-USD | length: 1897 | accuracy: 0.5113336847654191 | cross_val_scores: [0.48659004 0.516      0.50828025 0.5059761  0.53293413] | cross_val_scores_avg: 0.5099561040890607 | precision: 0.4970178926441352 | tn: 470, fp: 506, fn: 421, tp: 500 | 
symbol: LDO-USD | length: 1725 | accuracy: 0.4950724637681159 | cross_val_scores: [0.50531915 0.53735256 0.53557047 0.51125828 0.48426813] | cross_val_scores_avg: 0.5147537156873392 | precision: 0.5095095095095095 | tn: 345, fp: 490, fn: 381, tp: 509 | 
symbol: ALGO-USD | length: 1897 | accuracy: 0.4897206114918292 | cross_val_scores: [0.49363057 0.49339207 0.48424069 0.45251397 0.49752066] | cross_val_scores_avg: 0.48425959180990874 | precision: 0.46206896551724136 | tn: 594, fp: 390, fn: 578, tp: 335 | 
symbol: QNT-USD | length: 1897 | accuracy: 0.5202952029520295 | cross_val_scores: [0.50130208 0.52163743 0.49937733 0.5122549  0.52637749] | cross_val_scores_avg: 0.5121898476791957 | precision: 0.5179786200194364 | tn: 454, fp: 496, fn: 414, tp: 533 | 
symbol: VET-USD | length: 1897 | accuracy: 0.5013178703215604 | cross_val_scores: [0.5        0.51011561 0.49931034 0.51497006 0.49365303] | cross_val_scores_avg: 0.5036098088168597 | precision: 0.47455621301775147 | tn: 550, fp: 444, fn: 502, tp: 401 | 
symbol: HBAR-USD | length: 1897 | accuracy: 0.503953610964681 | cross_val_scores: [0.51119895 0.52244898 0.52042161 0.48057554 0.51256983] | cross_val_scores_avg: 0.5094429809844201 | precision: 0.4794359576968273 | tn: 548, fp: 443, fn: 498, tp: 408 | 
symbol: ICP-USD | length: 1897 | accuracy: 0.48866631523458093 | cross_val_scores: [0.5065123  0.48816568 0.49605263 0.49797023 0.49710145] | cross_val_scores_avg: 0.49716045847626045 | precision: 0.47761194029850745 | tn: 511, fp: 455, fn: 515, tp: 416 | 
symbol: FTM-USD | length: 1897 | accuracy: 0.522403795466526 | cross_val_scores: [0.47880299 0.48582474 0.50598086 0.50066578 0.52419355] | cross_val_scores_avg: 0.499093584675849 | precision: 0.520039100684262 | tn: 459, fp: 491, fn: 415, tp: 532 | 
symbol: MANA-USD | length: 1897 | accuracy: 0.5065893516078018 | cross_val_scores: [0.51351351 0.53259362 0.50248139 0.51358696 0.48514851] | cross_val_scores_avg: 0.5094647988874325 | precision: 0.5160919540229885 | tn: 512, fp: 421, fn: 515, tp: 449 | 
symbol: BTCB-USD | length: 1725 | accuracy: 0.49681159420289855 | cross_val_scores: [0.50699844 0.51466276 0.51226994 0.48840804 0.48769231] | cross_val_scores_avg: 0.5020062969650365 | precision: 0.46946564885496184 | tn: 488, fp: 417, fn: 451, tp: 369 | 
symbol: WBNB-USD | length: 1720 | accuracy: 0.541860465116279 | cross_val_scores: [0.49208633 0.49230769 0.50307692 0.50078493 0.52689873] | cross_val_scores_avg: 0.503030921970688 | precision: 0.5405405405405406 | tn: 492, fp: 374, fn: 414, tp: 440 | 
symbol: AAVE-USD | length: 1897 | accuracy: 0.5202952029520295 | cross_val_scores: [0.50595238 0.49322493 0.5202864  0.51012146 0.52232747] | cross_val_scores_avg: 0.5103825272852834 | precision: 0.516028955532575 | tn: 488, fp: 468, fn: 442, tp: 499 | 
symbol: TMG-USD | length: 420 | accuracy: 0.5261904761904762 | cross_val_scores: [0.4751773  0.50847458 0.48447205 0.48648649 0.49382716] | cross_val_scores_avg: 0.489687515581096 | precision: 0.470873786407767 | tn: 124, fp: 109, fn: 90, tp: 97 | 
symbol: EOS-USD | length: 1897 | accuracy: 0.5002635740643121 | cross_val_scores: [0.51994681 0.50771388 0.50715215 0.49862259 0.46805349] | cross_val_scores_avg: 0.5002977841013274 | precision: 0.4864516129032258 | tn: 572, fp: 398, fn: 550, tp: 377 | 
symbol: SAND-USD | length: 1897 | accuracy: 0.5208223510806537 | cross_val_scores: [0.50455137 0.49937733 0.50909091 0.50432633 0.48651961] | cross_val_scores_avg: 0.5007731092276863 | precision: 0.5216473072861668 | tn: 494, fp: 453, fn: 456, tp: 494 | 
symbol: AXS-USD | length: 1897 | accuracy: 0.4981549815498155 | cross_val_scores: [0.51846966 0.51696065 0.51503268 0.52503577 0.50068399] | cross_val_scores_avg: 0.5152365495853626 | precision: 0.48998822143698467 | tn: 529, fp: 433, fn: 519, tp: 416 | 
symbol: BIT11221-USD | length: 541 | accuracy: 0.5157116451016636 | cross_val_scores: [0.51196172 0.5154185  0.52216749 0.53333333 0.46774194] | cross_val_scores_avg: 0.510124596238523 | precision: 0.48760330578512395 | tn: 161, fp: 124, fn: 138, tp: 118 | 
symbol: EGLD-USD | length: 1897 | accuracy: 0.5055350553505535 | cross_val_scores: [0.50817439 0.51304348 0.51846966 0.51626016 0.51488095] | cross_val_scores_avg: 0.5141657274313026 | precision: 0.49539170506912444 | tn: 529, fp: 438, fn: 500, tp: 430 | 
symbol: FLOW-USD | length: 1897 | accuracy: 0.518186610437533 | cross_val_scores: [0.50586701 0.51347709 0.51596424 0.54210526 0.51084011] | cross_val_scores_avg: 0.5176507429903056 | precision: 0.5139896373056995 | tn: 487, fp: 469, fn: 445, tp: 496 | 
symbol: LUNC-USD | length: 541 | accuracy: 0.4898336414048059 | cross_val_scores: [0.50769231 0.52401747 0.49193548 0.56903766 0.53846154] | cross_val_scores_avg: 0.5262288908354975 | precision: 0.47896440129449835 | tn: 117, fp: 161, fn: 115, tp: 148 | 
